usn,name,department,semester,email
U03CJ23S0001,RAHUL SHARMA,BCA,6,rahulsharma@gmail.com
U03CJ23S0002,PRIYA VERMA,BCA,6,priyaverma@gmail.com
U03CJ23S0003,AMIT KUMAR,BCA,6,amitkumar@gmail.com
U03CJ23S0004,NEHA GUPTA,BCA,6,nehagupta@gmail.com
U03CJ23S0005,ROHIT SINGH,BCA,6,rohitsingh@gmail.com
U03CJ23S0006,SNEHA REDDY,BCA,6,snehareddy@gmail.com
U03CJ23S0007,KARAN MEHTA,BCA,6,karanmehta@gmail.com
U03CJ23S0008,POOJA NAIR,BCA,6,poojanair@gmail.com
U03CJ23S0009,ARJUN PATEL,BCA,6,arjunpatel@gmail.com
U03CJ23S0010,DIVYA IYER,BCA,6,divyaiyer@gmail.com
U03CJ23S0011,MANISH JAIN,BCA,6,manishjain@gmail.com
U03CJ23S0012,ANJALI DAS,BCA,6,anjalidas@gmail.com
U03CJ23S0013,VIKAS YADAV,BCA,6,vikasyadav@gmail.com
U03CJ23S0014,RITU KAPOOR,BCA,6,ritukapoor@gmail.com
U03CJ23S0015,HARSH AGARWAL,BCA,6,harshagarwal@gmail.com
U03CJ23S0016,STUDENT 016,BCA,6,student016@gmail.com
U03CJ23S0017,STUDENT 017,BCA,6,student017@gmail.com
U03CJ23S0018,STUDENT 018,BCA,6,student018@gmail.com
U03CJ23S0019,STUDENT 019,BCA,6,student019@gmail.com
U03CJ23S0020,STUDENT 020,BCA,6,student020@gmail.com
U03CJ23S0021,STUDENT 021,BCA,6,student021@gmail.com
U03CJ23S0022,STUDENT 022,BCA,6,student022@gmail.com
U03CJ23S0023,STUDENT 023,BCA,6,student023@gmail.com
U03CJ23S0024,STUDENT 024,BCA,6,student024@gmail.com
U03CJ23S0025,STUDENT 025,BCA,6,student025@gmail.com
U03CJ23S0026,STUDENT 026,BCA,6,student026@gmail.com
U03CJ23S0027,STUDENT 027,BCA,6,student027@gmail.com
U03CJ23S0028,STUDENT 028,BCA,6,student028@gmail.com
U03CJ23S0029,STUDENT 029,BCA,6,student029@gmail.com
U03CJ23S0030,STUDENT 030,BCA,6,student030@gmail.com
U03CJ23S0031,STUDENT 031,BCA,6,student031@gmail.com
U03CJ23S0032,STUDENT 032,BCA,6,student032@gmail.com
U03CJ23S0033,STUDENT 033,BCA,6,student033@gmail.com
U03CJ23S0034,STUDENT 034,BCA,6,student034@gmail.com
U03CJ23S0035,STUDENT 035,BCA,6,student035@gmail.com
U03CJ23S0036,STUDENT 036,BCA,6,student036@gmail.com
U03CJ23S0037,STUDENT 037,BCA,6,student037@gmail.com
U03CJ23S0038,STUDENT 038,BCA,6,student038@gmail.com
U03CJ23S0039,STUDENT 039,BCA,6,student039@gmail.com
U03CJ23S0040,STUDENT 040,BCA,6,student040@gmail.com
U03CJ23S0041,STUDENT 041,BCA,6,student041@gmail.com
U03CJ23S0042,STUDENT 042,BCA,6,student042@gmail.com
U03CJ23S0043,STUDENT 043,BCA,6,student043@gmail.com
U03CJ23S0044,STUDENT 044,BCA,6,student044@gmail.com
U03CJ23S0045,STUDENT 045,BCA,6,student045@gmail.com
U03CJ23S0046,STUDENT 046,BCA,6,student046@gmail.com
U03CJ23S0047,STUDENT 047,BCA,6,student047@gmail.com
U03CJ23S0048,STUDENT 048,BCA,6,student048@gmail.com
U03CJ23S0049,STUDENT 049,BCA,6,student049@gmail.com
U03CJ23S0050,STUDENT 050,BCA,6,student050@gmail.com
U03CJ23S0051,STUDENT 051,BCA,6,student051@gmail.com
U03CJ23S0052,STUDENT 052,BCA,6,student052@gmail.com
U03CJ23S0053,STUDENT 053,BCA,6,student053@gmail.com
U03CJ23S0054,STUDENT 054,BCA,6,student054@gmail.com
U03CJ23S0055,STUDENT 055,BCA,6,student055@gmail.com
U03CJ23S0056,STUDENT 056,BCA,6,student056@gmail.com
U03CJ23S0057,STUDENT 057,BCA,6,student057@gmail.com
